Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
ERR3225670,2019-03-28 09:08:43,2019-06-13 19:16:29,2207730,128312548,0,58,42,GCA_000002305.1,https://sra-download.ncbi.nlm.nih.gov/traces/era7/ERR/ERR3225/ERR3225670,ERX3253122,unspecified,WGS,RANDOM,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP114186,PRJEB31613,,529397,ERS1892667,SAMEA104233649,simple,9796,Equus caballus,SAMEA104233649,,,,,,,no,,,,,CENTRE FOR GEOGENETICS,ERA1772933,,public,C9EF4C1ADC460CF16349E076FD451389,90E4C3D28C57BF8B443C1E984032A573
ERR3225666,2019-03-28 09:08:43,2019-06-12 17:45:52,136408827,7281760598,31279389,53,1981,GCA_000002305.1,https://sra-download.ncbi.nlm.nih.gov/traces/era1/ERR/ERR3225/ERR3225666,ERX3253118,unspecified,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,ERP114186,PRJEB31613,,529397,ERS1892681,SAMEA104233663,simple,9796,Equus caballus,SAMEA104233663,,,,,,,no,,,,,CENTRE FOR GEOGENETICS,ERA1772933,,public,E73D31050FFC34C9C341538749EFDD63,A3A08997259CB70B142CA5AA6C36F75A
ERR3225667,2019-03-28 09:08:43,2019-06-12 18:06:35,175733092,10976250507,27671530,62,2392,GCA_000002305.1,https://sra-download.ncbi.nlm.nih.gov/traces/era4/ERR/ERR3225/ERR3225667,ERX3253119,unspecified,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,ERP114186,PRJEB31613,,529397,ERS1892687,SAMEA104233669,simple,9796,Equus caballus,SAMEA104233669,,,,,,,no,,,,,CENTRE FOR GEOGENETICS,ERA1772933,,public,2F39289CD9B1D4E4D43E73CF63AC352B,83763E3F6B78C25ACF37971A3B55137C
ERR3225668,2019-03-28 09:08:43,2019-06-13 20:48:54,122113680,6314562534,16697077,51,1485,GCA_000002305.1,https://sra-download.ncbi.nlm.nih.gov/traces/era4/ERR/ERR3225/ERR3225668,ERX3253120,unspecified,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,ERP114186,PRJEB31613,,529397,ERS1892688,SAMEA104233670,simple,9796,Equus caballus,SAMEA104233670,,,,,,,no,,,,,CENTRE FOR GEOGENETICS,ERA1772933,,public,0B25CA2CA3C67C40DF048AD3795E3D6D,D9608B1C8E2024BB0DD11DDD8ED27D63
ERR3225669,2019-03-28 09:08:43,2019-06-12 19:12:03,182090768,11171692432,29272224,61,2567,GCA_000002305.1,https://sra-download.ncbi.nlm.nih.gov/traces/era1/ERR/ERR3225/ERR3225669,ERX3253121,unspecified,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,ERP114186,PRJEB31613,,529397,ERS1892689,SAMEA104233671,simple,9796,Equus caballus,SAMEA104233671,,,,,,,no,,,,,CENTRE FOR GEOGENETICS,ERA1772933,,public,AEEBC7C752ABFADC257AFDC2DC91194A,5E2A042B0459EB7E6780C7305A97795A
ERR3225671,2019-03-28 09:08:43,2019-06-13 20:29:20,55106394,4390571456,0,79,658,GCA_000002305.1,https://sra-download.ncbi.nlm.nih.gov/traces/era4/ERR/ERR3225/ERR3225671,ERX3253123,unspecified,WGS,RANDOM,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP114186,PRJEB31613,,529397,ERS1892704,SAMEA104233686,simple,9796,Equus caballus,SAMEA104233686,,,,,,,no,,,,,CENTRE FOR GEOGENETICS,ERA1772933,,public,3D701ACCFB29A70AF7B6D29C1C71DB27,54E255660A67B9EF0F30E3420413D868
ERR3225571,2019-03-28 09:08:41,2019-06-13 19:19:27,55806014,3209437562,0,57,969,GCA_000002305.1,https://sra-download.ncbi.nlm.nih.gov/traces/era4/ERR/ERR3225/ERR3225571,ERX3253023,unspecified,WGS,RANDOM,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP114186,PRJEB31613,,529397,ERS3213574,SAMEA5408264,simple,9796,Equus caballus,SAMEA5408264,,,,,,,no,,,,,CENTRE FOR GEOGENETICS,ERA1772933,,public,40F63DC85E6173CEE04611C770CFB90C,41C33936ACB2E4F7BB64B88873BDAC0F
ERR3225572,2019-03-28 09:08:42,2019-06-13 19:18:03,25636571,1240374951,0,48,399,GCA_000002305.1,https://sra-download.ncbi.nlm.nih.gov/traces/era4/ERR/ERR3225/ERR3225572,ERX3253024,unspecified,WGS,RANDOM,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP114186,PRJEB31613,,529397,ERS3213575,SAMEA5408265,simple,9796,Equus caballus,SAMEA5408265,,,,,,,no,,,,,CENTRE FOR GEOGENETICS,ERA1772933,,public,499DD8E55F91C7EEF9867C6CFBEA980C,7DD9BEE2E3F324C6773A33F97B7B0573
ERR3225573,2019-03-28 09:08:42,2019-06-13 19:14:41,1240264,86567069,0,69,24,GCA_000002305.1,https://sra-download.ncbi.nlm.nih.gov/traces/era11/ERR/ERR3225/ERR3225573,ERX3253025,unspecified,WGS,RANDOM,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP114186,PRJEB31613,,529397,ERS3213576,SAMEA5408266,simple,9796,Equus caballus,SAMEA5408266,,,,,,,no,,,,,CENTRE FOR GEOGENETICS,ERA1772933,,public,119BE2FFA1856E59F05D24EF99B33E9C,E921E25D8822A4BD0E9A123EF01F059B
ERR3225574,2019-03-28 09:08:42,2019-06-12 17:30:55,134489422,8582438095,0,63,2461,GCA_000002305.1,https://sra-download.ncbi.nlm.nih.gov/traces/era4/ERR/ERR3225/ERR3225574,ERX3253026,unspecified,WGS,RANDOM,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,ERP114186,PRJEB31613,,529397,ERS3213577,SAMEA5408267,simple,9796,Equus caballus,SAMEA5408267,,,,,,,no,,,,,CENTRE FOR GEOGENETICS,ERA1772933,,public,33E0BAED5B090B9D1044E3A362629255,4BF10B794B12A6F8C7F10C82A5CBBD6B
